╭─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────╮
│                                  schema │                                   table │                                  column │                                 has_pii │
├─────────────────────────────────────────┼─────────────────────────────────────────┼─────────────────────────────────────────┼─────────────────────────────────────────┤
│                                     ach │                          achbatchheader │                             companyname │                                       1 │
│                                     ach │                     achbatchrecordqueue │                                address1 │                                       1 │
│                                     ach │                     achbatchrecordqueue │                                address2 │                                       1 │
│                                     ach │                     achbatchrecordqueue │                                bankname │                                       1 │
│                                     ach │                     achbatchrecordqueue │                                    city │                                       1 │
│                                     ach │                     achbatchrecordqueue │                                   email │                                       1 │
│                                     ach │                     achbatchrecordqueue │                            endpointname │                                       1 │
│                                     ach │                     achbatchrecordqueue │                               firstname │                                       1 │
│                                     ach │                     achbatchrecordqueue │                                lastname │                                       1 │
│                                     ach │                     achbatchrecordqueue │                                   state │                                       1 │
│                                     ach │                     achbatchrecordqueue │                                 zipcode │                                       1 │
│                                     ach │                             achendpoint │                            endpointname │                                       1 │
│                                     ach │                             achendpoint │                        endpointnameorig │                                       1 │
│                                     ach │                             achendpoint │                        endpointnamepymt │                                       1 │
│                                     ach │                             achendpoint │                                   state │                                       1 │
│                                     ach │                                 achfile │                                filename │                                       1 │
│                                     ach │                           achfileheader │                immediatedestinationname │                                       1 │
│                                     ach │                           achfileheader │                     immediateoriginname │                                       1 │
│                                     ach │                           achfilerecord │                                address1 │                                       1 │
│                                     ach │                           achfilerecord │                                address2 │                                       1 │
│                                     ach │                           achfilerecord │                                bankname │                                       1 │
│                                     ach │                           achfilerecord │                                    city │                                       1 │
│                                     ach │                           achfilerecord │                                   email │                                       1 │
│                                     ach │                           achfilerecord │                            endpointname │                                       1 │
│                                     ach │                           achfilerecord │                               firstname │                                       1 │
│                                     ach │                           achfilerecord │                                lastname │                                       1 │
│                                     ach │                           achfilerecord │                                   state │                                       1 │
│                                     ach │                           achfilerecord │                                 zipcode │                                       1 │
│                                     ach │                                auditlog │                              ip_address │                                       1 │
│                                     ach │                                noc_file │                                filename │                                       1 │
│                                     ach │                         noc_file_record │                               full_name │                                       1 │
│                                     ach │                              returnfile │                                filename │                                       1 │
│                                     ach │                        returnfilerecord │                               full_name │                                       1 │
│                          ach_bitemporal │                          achbatchheader │                             companyname │                                       1 │
│                          ach_bitemporal │                     achbatchrecordqueue │                                address1 │                                       1 │
│                          ach_bitemporal │                     achbatchrecordqueue │                                address2 │                                       1 │
│                          ach_bitemporal │                     achbatchrecordqueue │                                bankname │                                       1 │
│                          ach_bitemporal │                     achbatchrecordqueue │                                    city │                                       1 │
│                          ach_bitemporal │                     achbatchrecordqueue │                                   email │                                       1 │
│                          ach_bitemporal │                     achbatchrecordqueue │                            endpointname │                                       1 │
│                          ach_bitemporal │                     achbatchrecordqueue │                               firstname │                                       1 │
│                          ach_bitemporal │                     achbatchrecordqueue │                                lastname │                                       1 │
│                          ach_bitemporal │                     achbatchrecordqueue │                                   state │                                       1 │
│                          ach_bitemporal │                     achbatchrecordqueue │                                 zipcode │                                       1 │
│                          ach_bitemporal │                             achendpoint │                            endpointname │                                       1 │
│                          ach_bitemporal │                             achendpoint │                        endpointnameorig │                                       1 │
│                          ach_bitemporal │                             achendpoint │                        endpointnamepymt │                                       1 │
│                          ach_bitemporal │                             achendpoint │                                   state │                                       1 │
│                          ach_bitemporal │                                 achfile │                                filename │                                       1 │
│                          ach_bitemporal │                           achfileheader │                immediatedestinationname │                                       1 │
│                          ach_bitemporal │                           achfileheader │                     immediateoriginname │                                       1 │
│                          ach_bitemporal │                           achfilerecord │                                address1 │                                       1 │
│                          ach_bitemporal │                           achfilerecord │                                address2 │                                       1 │
│                          ach_bitemporal │                           achfilerecord │                                bankname │                                       1 │
│                          ach_bitemporal │                           achfilerecord │                                    city │                                       1 │
│                          ach_bitemporal │                           achfilerecord │                                   email │                                       1 │
│                          ach_bitemporal │                           achfilerecord │                            endpointname │                                       1 │
│                          ach_bitemporal │                           achfilerecord │                               firstname │                                       1 │
│                          ach_bitemporal │                           achfilerecord │                                lastname │                                       1 │
│                          ach_bitemporal │                           achfilerecord │                                   state │                                       1 │
│                          ach_bitemporal │                           achfilerecord │                                 zipcode │                                       1 │
│                          ach_bitemporal │                              returnfile │                                filename │                                       1 │
│                          ach_bitemporal │                        returnfilerecord │                               full_name │                                       1 │
│                          balance_fdw_lp │                    accounts_balanceuser │                             address_one │                                       1 │
│                          balance_fdw_lp │                    accounts_balanceuser │                             address_two │                                       1 │
│                          balance_fdw_lp │                    accounts_balanceuser │                                    city │                                       1 │
│                          balance_fdw_lp │                    accounts_balanceuser │                                dl_state │                                       1 │
│                          balance_fdw_lp │                    accounts_balanceuser │                                   email │                                       1 │
│                          balance_fdw_lp │                    accounts_balanceuser │                              first_name │                                       1 │
│                          balance_fdw_lp │                    accounts_balanceuser │                               last_name │                                       1 │
│                          balance_fdw_lp │                    accounts_balanceuser │                                password │                                       1 │
│                          balance_fdw_lp │                    accounts_balanceuser │                           ssn_last_four │                                       1 │
│                          balance_fdw_lp │                    accounts_balanceuser │                                   state │                                       1 │
│                          balance_fdw_lp │                          address_entity │                                address1 │                                       1 │
│                          balance_fdw_lp │                          address_entity │                                address2 │                                       1 │
│                          balance_fdw_lp │                          address_entity │                                    city │                                       1 │
│                          balance_fdw_lp │                          address_entity │                                 country │                                       1 │
│                          balance_fdw_lp │                          address_entity │                                   state │                                       1 │
│                          balance_fdw_lp │                          address_entity │                                 zipcode │                                       1 │
│                          balance_fdw_lp │               applicant_match_compare_v │                           address_line1 │                                       1 │
│                          balance_fdw_lp │               applicant_match_compare_v │                           address_line2 │                                       1 │
│                          balance_fdw_lp │               applicant_match_compare_v │                                    city │                                       1 │
│                          balance_fdw_lp │               applicant_match_compare_v │                              first_name │                                       1 │
│                          balance_fdw_lp │               applicant_match_compare_v │                               last_name │                                       1 │
│                          balance_fdw_lp │               applicant_match_compare_v │             social_security_number_encr │                                       1 │
│                          balance_fdw_lp │               applicant_match_compare_v │                                     ssn │                                       1 │
│                          balance_fdw_lp │               applicant_match_compare_v │                              state_code │                                       1 │
│                          balance_fdw_lp │                              applicants │                           address_line1 │                                       1 │
│                          balance_fdw_lp │                              applicants │                           address_line2 │                                       1 │
│                          balance_fdw_lp │                              applicants │                            bank_country │                                       1 │
│                          balance_fdw_lp │                              applicants │                               bank_name │                                       1 │
│                          balance_fdw_lp │                              applicants │                                    city │                                       1 │
│                          balance_fdw_lp │                              applicants │                                 country │                                       1 │
│                          balance_fdw_lp │                              applicants │                        driver_sid_state │                                       1 │
│                          balance_fdw_lp │                              applicants │                                   email │                                       1 │
│                          balance_fdw_lp │                              applicants │                           employer_name │                                       1 │
│                          balance_fdw_lp │                              applicants │                    employer_periodicity │                                       1 │
│                          balance_fdw_lp │                              applicants │                              first_name │                                       1 │
│                          balance_fdw_lp │                              applicants │                              ip_address │                                       1 │
│                          balance_fdw_lp │                              applicants │                               last_name │                                       1 │
│                          balance_fdw_lp │                              applicants │                  social_security_number │                                       1 │
