╭──────────────────────────────────────────────────────────────┬──────────────────────────────────────────────────────────────┬──────────────────────────────────────────────────────────────┬──────────────────────────────────────────────────────────────╮
│                                                       schema │                                                        table │                                                       column │                                                      has_pii │
├──────────────────────────────────────────────────────────────┼──────────────────────────────────────────────────────────────┼──────────────────────────────────────────────────────────────┼──────────────────────────────────────────────────────────────┤
│                                                    analytics │                                               address_parsed │                                                 address_text │                                                            1 │
│                                                    analytics │                               analytics.npv_v3_sandbox_cases │                             cd_cxtbs_ssn_crosstab_home_phone │                                                            1 │
│                                                    analytics │                               analytics.npv_v3_sandbox_cases │                                  count_of_nums_in_email_addr │                                                            1 │
│                                                    analytics │                               analytics.npv_v3_sandbox_cases │                           home_phone_area_code_matches_state │                                                            1 │
│                                                    analytics │                               analytics.npv_v3_sandbox_cases │                         inq_number_of_ssns_with_bank_account │                                                            1 │
│                                                    analytics │                               analytics.npv_v3_sandbox_cases │                                                   state_code │                                                            1 │
│                                                    analytics │                               analytics.npv_v3_sandbox_cases │                                                state_code_ms │                                                            1 │
│                                                    analytics │                               analytics.npv_v3_sandbox_cases │                                                state_code_sc │                                                            1 │
│                                                    analytics │                               analytics.npv_v3_sandbox_cases │                                                state_code_tx │                                                            1 │
│                                                    analytics │                               analytics.npv_v3_sandbox_cases │                                                state_code_va │                                                            1 │
│                                                    analytics │                               analytics.npv_v3_sandbox_cases │                                                state_code_wi │                                                            1 │
│                                                    analytics │                               analytics.npv_v3_sandbox_cases │                                               state_high_apr │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                   agent_name │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                    ani_state │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                         city │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                customer_name │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                date_of_birth │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                   dnis_state │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                email_address │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                   first_name │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                   last_4_ssn │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                    last_name │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                    list_name │                                                            1 │
│                                                    analytics │                                            call_log_extended │                                                        state │                                                            1 │
│                                                    analytics │                                               chorus_pricing │                                                   state_code │                                                            1 │
│                                                    analytics │                                       clarity_sample_reports │                                                  report_name │                                                            1 │
│                                                    analytics │                                                cso_reporting │                                             client_firstname │                                                            1 │
│                                                    analytics │                                                cso_reporting │                                              client_lastname │                                                            1 │
│                                                    analytics │                                                cso_reporting │                                                   state_code │                                                            1 │
│                                                    analytics │                                                cso_reporting │                                                     state_id │                                                            1 │
│                                                    analytics │                                              cso_reporting_1 │                                             client_firstname │                                                            1 │
│                                                    analytics │                                              cso_reporting_1 │                                              client_lastname │                                                            1 │
│                                                    analytics │                                              cso_reporting_1 │                                                   state_code │                                                            1 │
│                                                    analytics │                                              cso_reporting_1 │                                                     state_id │                                                            1 │
│                                                    analytics │                                     dm_campaign_model_scores │                                                   first_name │                                                            1 │
│                                                    analytics │                                     dm_campaign_model_scores │                                                    last_name │                                                            1 │
│                                                    analytics │                                     dm_campaign_model_scores │                                                          ssn │                                                            1 │
│                                                    analytics │                                     dm_campaign_model_scores │                                                   state_code │                                                            1 │
│                                                    analytics │                                                dm_mail_files │                                                        fname │                                                            1 │
│                                                    analytics │                                                dm_mail_files │                                                        lname │                                                            1 │
│                                                    analytics │                                                dm_mail_files │                                                          ssn │                                                            1 │
│                                                    analytics │                                                dm_mail_files │                                                   state_code │                                                            1 │
│                                                    analytics │                                            employment_parsed │                                                employer_name │                                                            1 │
│                                                    analytics │                                            employment_parsed │                                        extra_line_of_address │                                                            1 │
│                                                    analytics │                                            employment_parsed │                                        first_line_of_address │                                                            1 │
│                                                    analytics │                                            employment_parsed │                                       second_line_of_address │                                                            1 │
│                                                    analytics │                                                exp_mail_file │                                                        fname │                                                            1 │
│                                                    analytics │                                                exp_mail_file │                                                        lname │                                                            1 │
│                                                    analytics │                                                exp_mail_file │                                                          ssn │                                                            1 │
│                                                    analytics │                                                exp_mail_file │                                                   state_code │                                                            1 │
│                                                    analytics │                             fact_application_insert_20190509 │                                            address_len_years │                                                            1 │
│                                                    analytics │                             fact_application_insert_20190509 │                                                        email │                                                            1 │
│                                                    analytics │                             fact_application_insert_20190509 │                                                 email_domain │                                                            1 │
│                                                    analytics │                             fact_application_insert_20190509 │                                       social_security_number │                                                            1 │
│                                                    analytics │                             fact_application_insert_20190509 │                                                   state_code │                                                            1 │
│                                                    analytics │                             fact_application_insert_20190509 │                                              user_agent_type │                                                            1 │
│                                                    analytics │                        fact_application_table_initial_insert │                                              address_len_yrs │                                                            1 │
│                                                    analytics │                        fact_application_table_initial_insert │                                                        email │                                                            1 │
│                                                    analytics │                        fact_application_table_initial_insert │                                                 email_domain │                                                            1 │
│                                                    analytics │                        fact_application_table_initial_insert │                                       social_security_number │                                                            1 │
│                                                    analytics │                        fact_application_table_initial_insert │                                                   state_code │                                                            1 │
│                                                    analytics │                        fact_application_table_initial_insert │                                              user_agent_type │                                                            1 │
│                                                    analytics │                                fact_application_underwriting │                                       claritycontrolfilename │                                                            1 │
│                                                    analytics │                                fact_application_underwriting │                                                     cust_dob │                                                            1 │
│                                                    analytics │                                fact_application_underwriting │                                                        state │                                                            1 │
│                                                    analytics │              fact_application_underwriting_backfill_20190809 │                                       claritycontrolfilename │                                                            1 │
│                                                    analytics │              fact_application_underwriting_backfill_20190809 │                                                     cust_dob │                                                            1 │
│                                                    analytics │              fact_application_underwriting_backfill_20190809 │                                                        state │                                                            1 │
│                                                    analytics │   fact_application_underwriting_backup_delete_after_20190601 │                                       claritycontrolfilename │                                                            1 │
│                                                    analytics │   fact_application_underwriting_backup_delete_after_20190601 │                                                     cust_dob │                                                            1 │
│                                                    analytics │   fact_application_underwriting_backup_delete_after_20190601 │                                                        state │                                                            1 │
│                                                    analytics │                         fact_application_underwriting_insert │                                       claritycontrolfilename │                                                            1 │
│                                                    analytics │                         fact_application_underwriting_insert │                                                     cust_dob │                                                            1 │
│                                                    analytics │                         fact_application_underwriting_insert │                                                        state │                                                            1 │
│                                                    analytics │                                          fact_finance_backup │                                             client_firstname │                                                            1 │
│                                                    analytics │                                          fact_finance_backup │                                              client_lastname │                                                            1 │
│                                                    analytics │                                          fact_finance_backup │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                          fact_finance_backup │                                                   state_code │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_5_30 │                                             client_firstname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_5_30 │                                              client_lastname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_5_30 │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_5_30 │                                                   state_code │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_5_30 │                                                  state_owner │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_6_30 │                                             client_firstname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_6_30 │                                              client_lastname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_6_30 │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_6_30 │                                                   state_code │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_6_30 │                                                  state_owner │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_7_30 │                                             client_firstname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_7_30 │                                              client_lastname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_7_30 │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_7_30 │                                                   state_code │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_7_30 │                                                  state_owner │                                                            1 │
│                                                    analytics │                                     fact_finance_transaction │                                             client_firstname │                                                            1 │
│                                                    analytics │                                     fact_finance_transaction │                                              client_lastname │                                                            1 │
│                                                    analytics │                                     fact_finance_transaction │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                     fact_finance_transaction │                                                   state_code │                                                            1 │
│                                                    analytics │                                     fact_finance_transaction │                                                  state_owner │                                                            1 │
│                                                    analytics │                            fact_finance_transaction_21062019 │                                             client_firstname │                                                            1 │
│                                                    analytics │                            fact_finance_transaction_21062019 │                                              client_lastname │                                                            1 │
│                                                    analytics │                            fact_finance_transaction_21062019 │                                               endpoint_state │                                                            1 │
│                                                    analytics │                            fact_finance_transaction_21062019 │                                                   state_code │                                                            1 │
│                                                    analytics │                                    fact_finance_transactions │                                             client_firstname │                                                            1 │
│                                                    analytics │                                    fact_finance_transactions │                                              client_lastname │                                                            1 │
│                                                    analytics │                                    fact_finance_transactions │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                    fact_finance_transactions │                                                   state_code │                                                            1 │
│                                                    analytics │                           fact_finance_transactions_07152019 │                                             client_firstname │                                                            1 │
│                                                    analytics │                           fact_finance_transactions_07152019 │                                              client_lastname │                                                            1 │
│                                                    analytics │                           fact_finance_transactions_07152019 │                                               endpoint_state │                                                            1 │
│                                                    analytics │                           fact_finance_transactions_07152019 │                                                   state_code │                                                            1 │
│                                                    analytics │         fact_leads_underwriting_backup_delete_after_20190601 │                                                        state │                                                            1 │
│                                                    analytics │                                 fact_leads_underwriting_dups │                                                        state │                                                            1 │
│                                                    analytics │                                      fact_roi_customer_level │                                       social_security_number │                                                            1 │
│                                                    analytics │                                          fact_roi_loan_level │                                       social_security_number │                                                            1 │
│                                                    analytics │                                  factt_model_yacu_final_temp │                                                    state_adj │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                                           address_line1_case │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                 cd_cxtbs_bank_account_crosstab_email_address │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                          cd_cxtbs_email_address_crosstab_ssn │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                  cd_cxtbs_home_address_crosstab_bank_account │                                                            1 │
